collarid,fromdepth,todepth,_id0,_id1,Company_ID,Company_LithoCode,Company_Litho,comp lithology,Score,Level_3,Level_2,Level_1,xbt,ybt,zbt,xmt,ymt,zmt,xet,yet,zet,Unnamed: 20,dhgeochemistryid,holeid,companyholeid,Al2O3_pct,CaO_pct,Cu_ppm,Fe_pct,K2O_pct,Mgo_pct,MnO_pct,Na2O_pct,P_pct,Pb_ppm,S_pct,SiO2_pct,Zn_ppm
0,79,80,525,3087,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,331.9722819,482693.5366,6775498.089,329.4722819,482693.5366,6775498.089,326.9722819,,28267506,82655KararaMKD437,MKD437,10.48,0.91,60,5.95,2.58,2.72,0.39,1.45,0.043,50,0.515,68.62,80
0,80,81,525,3088,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,331.9722819,482693.5366,6775498.089,329.4722819,482693.5366,6775498.089,326.9722819,,28267507,82655KararaMKD437,MKD437,10.8,1.16,70,4.85,2.68,2.52,0.21,1.52,0.044,70,0.554,70.81,90
0,81,82,525,3089,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,331.9722819,482693.5366,6775498.089,329.4722819,482693.5366,6775498.089,326.9722819,,28267508,82655KararaMKD437,MKD437,10.88,1.55,80,5.01,2.66,2.6,0.18,1.44,0.042,70,0.564,71.05,100
0,82,83,525,3090,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,331.9722819,482693.5366,6775498.089,329.4722819,482693.5366,6775498.089,326.9722819,,28267509,82655KararaMKD437,MKD437,12.61,1.62,80,5.82,3.04,3.04,0.18,1.6,0.047,80,0.506,66.74,140
0,83,84,525,3091,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,331.9722819,482693.5366,6775498.089,329.4722819,482693.5366,6775498.089,326.9722819,,28267510,82655KararaMKD437,MKD437,10.79,1.85,70,5.22,2.63,2.69,0.21,1.02,0.041,60,0.44,70.77,100
0,84,85,526,3092,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267511,82655KararaMKD437,MKD437,12.26,1.77,80,6.37,3.28,2.97,0.3,1.22,0.049,60,0.579,65.52,110
0,85,86,526,3093,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267512,82655KararaMKD437,MKD437,12.14,1.97,80,6.08,2.75,2.85,0.19,1.37,0.05,60,0.604,67.17,110
0,86,87,526,3094,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267513,82655KararaMKD437,MKD437,12.73,1.65,80,5.79,3.07,2.94,0.2,1.2,0.048,50,0.508,66.72,100
0,87,88,526,3095,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267514,82655KararaMKD437,MKD437,14,0.86,80,6.63,3.03,3.22,0.17,1.05,0.052,70,0.582,64.58,110
0,88,89,526,3096,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267515,82655KararaMKD437,MKD437,14.45,1.24,80,7.09,3.15,3.36,0.2,1.16,0.054,70,0.517,62.75,110
0,89,90,526,3097,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267516,82655KararaMKD437,MKD437,13.27,1.7,90,6.36,2.99,3.01,0.18,1.26,0.05,60,0.571,64.94,110
0,90,91,526,3098,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267517,82655KararaMKD437,MKD437,13.86,1.34,90,7.13,3.02,3.26,0.16,1.19,0.052,60,0.589,63.29,100
0,91,92,526,3099,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267518,82655KararaMKD437,MKD437,12.6,1.78,70,5.34,3.2,2.85,0.17,1.25,0.051,50,0.413,66.91,90
0,92,93,526,3100,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267519,82655KararaMKD437,MKD437,12.27,2.29,70,5,2.89,2.89,0.17,1.38,0.051,50,0.353,68.04,80
0,93,94,526,3101,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267520,82655KararaMKD437,MKD437,12.39,1.64,70,4.86,2.89,2.95,0.14,1.66,0.05,60,0.323,69.2,90
0,94,95,526,3102,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267521,82655KararaMKD437,MKD437,12.57,1.64,90,5.03,3.14,2.98,0.12,1.42,0.052,50,0.238,68.21,90
0,95,96,526,3103,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267522,82655KararaMKD437,MKD437,12.52,2.66,70,5.15,3.04,2.98,0.14,1.51,0.049,70,0.232,67.35,90
0,96,97,526,3104,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267523,82655KararaMKD437,MKD437,11.46,2.65,70,4.62,3.02,2.65,0.14,1.42,0.044,70,0.325,69.43,90
0,97,98,526,3105,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267524,82655KararaMKD437,MKD437,11.42,1.65,70,5.34,3.14,2.86,0.11,1.69,0.043,50,0.285,69.12,80
0,98,99,526,3106,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267525,82655KararaMKD437,MKD437,10.21,1.51,60,7.29,2.7,2.9,0.11,1.35,0.038,60,0.34,68.05,70
0,99,100,526,3107,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267526,82655KararaMKD437,MKD437,9.62,1.68,70,14.31,1.69,3.83,0.14,0.39,0.041,50,0.456,58.97,50
0,100,101,526,3108,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267527,82655KararaMKD437,MKD437,12.79,1.2,50,13.69,3.24,4.03,0.15,0.68,0.051,40,0.268,54.42,70
0,101,102,526,3109,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267528,82655KararaMKD437,MKD437,13.34,1.95,60,10.67,3.89,3.43,0.14,1.83,0.052,70,0.106,57.05,80
0,102,103,526,3110,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267529,82655KararaMKD437,MKD437,10.74,0.91,60,15.14,3.07,3.72,0.13,0.35,0.045,20,0.497,55.97,50
0,103,104,526,3111,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,326.9722819,482693.5366,6775498.089,316.9722819,482693.5366,6775498.089,306.9722819,,28267530,82655KararaMKD437,MKD437,10.38,1.44,50,12.18,2.28,5.04,0.18,0.61,0.045,20,0.317,58.15,40
0,104,105,527,3112,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,306.9722819,482693.5366,6775498.089,304.9722819,482693.5366,6775498.089,302.9722819,,28267531,82655KararaMKD437,MKD437,8.87,3.01,60,15.07,3.37,3.76,0.26,0.53,0.036,20,0.258,54.35,50
0,105,106,527,3113,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,306.9722819,482693.5366,6775498.089,304.9722819,482693.5366,6775498.089,302.9722819,,28267532,82655KararaMKD437,MKD437,7.3,1.06,70,22.14,3.06,3.5,0.21,0.11,0.039,20,0.492,50.64,30
0,106,107,527,3114,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,306.9722819,482693.5366,6775498.089,304.9722819,482693.5366,6775498.089,302.9722819,,28267533,82655KararaMKD437,MKD437,5.44,2.34,40,25.66,2.3,2.91,0.19,0.39,0.07,10,0.151,46.71,20
0,107,108,527,3115,1621,Ssh,shale,mudstone,101,mudstone,clastic,sedimentary rock,482693.5366,6775498.089,306.9722819,482693.5366,6775498.089,304.9722819,482693.5366,6775498.089,302.9722819,,28267534,82655KararaMKD437,MKD437,0.18,1.68,30,39.33,0.101,1.3,0.06,0.26,0.068,20,0.029,39.85,-10
